법정구역,2024년02월_계_총세대수,2024년02월_계_연령구간세대수,2024년02월_계_20~29세,2024년02월_계_30~39세,2024년02월_남_총세대수,2024년02월_남_연령구간세대수,2024년02월_남_20~29세,2024년02월_남_30~39세,2024년02월_여_총세대수,2024년02월_여_연령구간세대수,2024년02월_여_20~29세,2024년02월_여_30~39세,2030_1인가구_비율,2030(여성)_1인가구_비율,2030(남성)_1인가구_비율
충무로4가,305.0,77.0,31,46,157.0,36.0,13,23,148.0,41.0,18,23,0.25245901639344265,0.27702702702702703,0.22929936305732485
충무로5가,452.0,313.0,169,144,213.0,129.0,58,71,239.0,184.0,111,73,0.6924778761061947,0.7698744769874477,0.6056338028169014
인현동2가,641.0,369.0,126,243,309.0,189.0,55,134,332.0,180.0,71,109,0.5756630265210608,0.5421686746987951,0.6116504854368932
예관동,16.0,0.0,0,0,10.0,0.0,0,0,6.0,0.0,0,0,0.0,0.0,0.0
묵정동,434.0,263.0,174,89,216.0,123.0,74,49,218.0,140.0,100,40,0.6059907834101382,0.6422018348623854,0.5694444444444444
필동1가,98.0,57.0,21,36,53.0,27.0,6,21,45.0,30.0,15,15,0.5816326530612245,0.6666666666666666,0.5094339622641509
필동2가,312.0,128.0,72,56,174.0,66.0,34,32,138.0,62.0,38,24,0.41025641025641024,0.4492753623188406,0.3793103448275862
필동3가,403.0,229.0,156,73,224.0,124.0,88,36,179.0,105.0,68,37,0.5682382133995038,0.5865921787709497,0.5535714285714286
남학동,13.0,0.0,0,0,7.0,0.0,0,0,6.0,0.0,0,0,0.0,0.0,0.0
주자동,16.0,1.0,0,1,13.0,1.0,0,1,3.0,0.0,0,0,0.0625,0.0,0.07692307692307693
예장동,236.0,107.0,46,61,137.0,76.0,33,43,99.0,31.0,13,18,0.4533898305084746,0.31313131313131315,0.5547445255474452
장충동1가,517.0,267.0,156,111,267.0,139.0,80,59,250.0,128.0,76,52,0.5164410058027079,0.512,0.5205992509363296
장충동2가,1316.0,818.0,602,216,766.0,516.0,379,137,550.0,302.0,223,79,0.621580547112462,0.5490909090909091,0.6736292428198434
광희동1가,260.0,137.0,92,45,133.0,53.0,31,22,127.0,84.0,61,23,0.5269230769230769,0.6614173228346457,0.39849624060150374
광희동2가,325.0,157.0,82,75,163.0,81.0,43,38,162.0,76.0,39,37,0.48307692307692307,0.4691358024691358,0.49693251533742333
쌍림동,327.0,148.0,87,61,164.0,64.0,32,32,163.0,84.0,55,29,0.4525993883792049,0.5153374233128835,0.3902439024390244
을지로6가,101.0,57.0,26,31,54.0,21.0,8,13,47.0,36.0,18,18,0.5643564356435643,0.7659574468085106,0.3888888888888889
을지로7가,32.0,6.0,4,2,20.0,2.0,1,1,12.0,4.0,3,1,0.1875,0.3333333333333333,0.1
을지로4가,88.0,41.0,16,25,56.0,21.0,7,14,32.0,20.0,9,11,0.4659090909090909,0.625,0.375
을지로5가,196.0,120.0,56,64,98.0,58.0,20,38,98.0,62.0,36,26,0.6122448979591837,0.6326530612244898,0.5918367346938775
주교동,183.0,31.0,14,17,153.0,27.0,13,14,30.0,4.0,1,3,0.16939890710382513,0.13333333333333333,0.17647058823529413
방산동,32.0,2.0,2,0,27.0,2.0,2,0,5.0,0.0,0,0,0.0625,0.0,0.07407407407407407
오장동,594.0,439.0,277,162,301.0,190.0,96,94,293.0,249.0,181,68,0.7390572390572391,0.8498293515358362,0.6312292358803987
을지로3가,185.0,44.0,10,34,134.0,24.0,4,20,51.0,20.0,6,14,0.23783783783783785,0.39215686274509803,0.1791044776119403
입정동,528.0,329.0,70,259,298.0,208.0,34,174,230.0,121.0,36,85,0.6231060606060606,0.5260869565217391,0.697986577181208
산림동,67.0,7.0,2,5,44.0,2.0,1,1,23.0,5.0,1,4,0.1044776119402985,0.21739130434782608,0.045454545454545456
충무로3가,219.0,119.0,53,66,159.0,70.0,23,47,60.0,49.0,30,19,0.54337899543379,0.8166666666666667,0.44025157232704404
초동,48.0,13.0,8,5,38.0,10.0,6,4,10.0,3.0,2,1,0.2708333333333333,0.3,0.2631578947368421
인현동1가,56.0,9.0,4,5,35.0,3.0,0,3,21.0,6.0,4,2,0.16071428571428573,0.2857142857142857,0.08571428571428572
저동2가,160.0,116.0,54,62,74.0,47.0,15,32,86.0,69.0,39,30,0.725,0.8023255813953488,0.6351351351351351
신당동,15000.0,5088.0,"2,170","2,918",7075.0,2508.0,925,"1,583",7925.0,2580.0,"1,245","1,335",0.3392,0.32555205047318614,0.3544876325088339
흥인동,1052.0,697.0,360,337,439.0,251.0,97,154,613.0,446.0,263,183,0.6625475285171103,0.7275693311582382,0.571753986332574
무학동,125.0,70.0,37,33,67.0,33.0,12,21,58.0,37.0,25,12,0.56,0.6379310344827587,0.4925373134328358
황학동,4440.0,2445.0,"1,130","1,315",2078.0,1085.0,414,671,2362.0,1360.0,716,644,0.5506756756756757,0.5757832345469941,0.5221366698748797
서소문동,8.0,2.0,0,2,5.0,1.0,0,1,3.0,1.0,0,1,0.25,0.3333333333333333,0.2
정동,165.0,97.0,41,56,59.0,38.0,11,27,106.0,59.0,30,29,0.5878787878787879,0.5566037735849056,0.6440677966101694
순화동,325.0,139.0,25,114,131.0,59.0,7,52,194.0,80.0,18,62,0.4276923076923077,0.41237113402061853,0.45038167938931295
의주로1가,66.0,38.0,12,26,28.0,14.0,5,9,38.0,24.0,7,17,0.5757575757575758,0.631578947368421,0.5
충정로1가,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
중림동,2132.0,748.0,326,422,1118.0,322.0,104,218,1014.0,426.0,222,204,0.350844277673546,0.42011834319526625,0.2880143112701252
의주로2가,3.0,0.0,0,0,3.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
만리동1가,237.0,94.0,26,68,116.0,48.0,14,34,121.0,46.0,12,34,0.39662447257383965,0.38016528925619836,0.41379310344827586
만리동2가,452.0,150.0,34,116,208.0,65.0,17,48,244.0,85.0,17,68,0.33185840707964603,0.3483606557377049,0.3125
후암동,4271.0,1822.0,693,"1,129",2050.0,925.0,307,618,2221.0,897.0,386,511,0.42659798642004215,0.40387212967131925,0.45121951219512196
용산동2가,2781.0,1310.0,522,788,1378.0,709.0,275,434,1403.0,601.0,247,354,0.47105357784969437,0.42836778332145403,0.5145137880986937
용산동4가,2.0,2.0,2,0,2.0,2.0,2,0,0.0,0.0,0,0,1.0,0.0,1.0
갈월동,1286.0,446.0,193,253,817.0,236.0,85,151,469.0,210.0,108,102,0.3468118195956454,0.44776119402985076,0.28886168910648713
남영동,393.0,72.0,22,50,313.0,44.0,10,34,80.0,28.0,12,16,0.183206106870229,0.35,0.14057507987220447
용산동1가,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
동자동,2042.0,384.0,151,233,1524.0,195.0,51,144,518.0,189.0,100,89,0.188050930460333,0.36486486486486486,0.1279527559055118
서계동,1837.0,672.0,265,407,1004.0,407.0,150,257,833.0,265.0,115,150,0.3658138268916712,0.31812725090036015,0.40537848605577687
청파동1가,2088.0,1058.0,476,582,1124.0,565.0,206,359,964.0,493.0,270,223,0.5067049808429118,0.5114107883817427,0.5026690391459074
청파동2가,1304.0,875.0,606,269,435.0,236.0,102,134,869.0,639.0,504,135,0.6710122699386503,0.7353279631760644,0.542528735632184
청파동3가,1842.0,1234.0,811,423,671.0,360.0,160,200,1171.0,874.0,651,223,0.6699239956568946,0.7463706233988044,0.5365126676602087
원효로1가,2698.0,1902.0,855,"1,047",1138.0,760.0,246,514,1560.0,1142.0,609,533,0.7049666419570052,0.732051282051282,0.6678383128295254
원효로2가,788.0,404.0,159,245,457.0,218.0,66,152,331.0,186.0,93,93,0.5126903553299492,0.5619335347432024,0.47702407002188185
신창동,501.0,240.0,93,147,253.0,140.0,53,87,248.0,100.0,40,60,0.47904191616766467,0.4032258064516129,0.5533596837944664
산천동,514.0,115.0,29,86,238.0,69.0,14,55,276.0,46.0,15,31,0.2237354085603113,0.16666666666666666,0.28991596638655465
청암동,52.0,15.0,4,11,23.0,7.0,1,6,29.0,8.0,3,5,0.28846153846153844,0.27586206896551724,0.30434782608695654
원효로3가,909.0,568.0,255,313,439.0,241.0,84,157,470.0,327.0,171,156,0.6248624862486248,0.6957446808510638,0.5489749430523918
원효로4가,617.0,295.0,108,187,287.0,146.0,44,102,330.0,149.0,64,85,0.47811993517017826,0.45151515151515154,0.5087108013937283
효창동,1788.0,907.0,371,536,759.0,400.0,121,279,1029.0,507.0,250,257,0.5072706935123042,0.49271137026239065,0.5270092226613966
도원동,583.0,116.0,37,79,238.0,68.0,15,53,345.0,48.0,22,26,0.19897084048027444,0.1391304347826087,0.2857142857142857
용문동,1544.0,829.0,338,491,708.0,409.0,145,264,836.0,420.0,193,227,0.5369170984455959,0.5023923444976076,0.577683615819209
문배동,1355.0,888.0,327,561,518.0,323.0,85,238,837.0,565.0,242,323,0.6553505535055351,0.6750298685782556,0.6235521235521235
신계동,388.0,153.0,46,107,202.0,93.0,25,68,186.0,60.0,21,39,0.3943298969072165,0.3225806451612903,0.4603960396039604
한강로1가,1147.0,657.0,209,448,522.0,291.0,95,196,625.0,366.0,114,252,0.5727986050566696,0.5856,0.5574712643678161
한강로2가,3083.0,2129.0,809,"1,320",1332.0,888.0,266,622,1751.0,1241.0,543,698,0.6905611417450536,0.7087378640776699,0.6666666666666666
용산동3가,143.0,75.0,44,31,102.0,58.0,37,21,41.0,17.0,7,10,0.5244755244755245,0.4146341463414634,0.5686274509803921
용산동5가,184.0,26.0,0,26,86.0,12.0,0,12,98.0,14.0,0,14,0.14130434782608695,0.14285714285714285,0.13953488372093023
한강로3가,1506.0,498.0,132,366,740.0,242.0,47,195,766.0,256.0,85,171,0.33067729083665337,0.3342036553524804,0.327027027027027
이촌동,3117.0,625.0,140,485,1202.0,357.0,63,294,1915.0,268.0,77,191,0.20051331408405518,0.13994778067885116,0.29700499168053246
이태원동,4686.0,2230.0,783,"1,447",2328.0,1268.0,426,842,2358.0,962.0,357,605,0.47588561673068713,0.4079728583545377,0.5446735395189003
한남동,4635.0,1760.0,514,"1,246",2240.0,892.0,237,655,2395.0,868.0,277,591,0.37971952535059333,0.3624217118997912,0.3982142857142857
동빙고동,798.0,254.0,73,181,378.0,139.0,36,103,420.0,115.0,37,78,0.3182957393483709,0.27380952380952384,0.36772486772486773
서빙고동,675.0,197.0,58,139,295.0,108.0,34,74,380.0,89.0,24,65,0.29185185185185186,0.23421052631578948,0.36610169491525424
주성동,194.0,63.0,18,45,116.0,44.0,11,33,78.0,19.0,7,12,0.3247422680412371,0.24358974358974358,0.3793103448275862
용산동6가,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
보광동,3237.0,1137.0,409,728,1650.0,718.0,252,466,1587.0,419.0,157,262,0.35125115848007415,0.2640201638311279,0.4351515151515152
상왕십리동,609.0,295.0,101,194,253.0,117.0,32,85,356.0,178.0,69,109,0.48440065681444994,0.5,0.4624505928853755
하왕십리동,4390.0,1739.0,706,"1,033",1940.0,831.0,302,529,2450.0,908.0,404,504,0.39612756264236904,0.3706122448979592,0.4283505154639175
홍익동,1204.0,424.0,200,224,558.0,191.0,82,109,646.0,233.0,118,115,0.3521594684385382,0.3606811145510836,0.34229390681003585
도선동,2004.0,1410.0,824,586,883.0,568.0,300,268,1121.0,842.0,524,318,0.7035928143712575,0.7511150758251561,0.6432616081540203
마장동,5393.0,2797.0,"1,860",937,2751.0,1463.0,907,556,2642.0,1334.0,953,381,0.5186352679399221,0.5049205147615443,0.5318066157760815
사근동,3080.0,2242.0,"1,858",384,1767.0,1385.0,"1,130",255,1313.0,857.0,728,129,0.727922077922078,0.6527037319116527,0.7838143746462931
